Days,Stock Price
1,0
2,2
3,0
4,0
5,2
6,1
7,3
8,4
9,3
10,3
11,1
12,-1
13,-3
14,-3
15,-2
16,0
17,1
18,-1
19,1
20,0
21,2
22,3
23,5
24,6
25,6
26,5
27,6
28,8
29,7
30,8
31,10
32,8
33,10
34,10
35,12
36,13
37,14
38,12
39,13
40,13
41,13
42,12
43,12
44,13
45,14
46,13
47,15
48,17
49,18
50,20
51,18
52,18
53,18
54,18
55,19
56,18
57,19
58,18
59,19
60,18
61,17
62,17
63,19
64,18
65,20
66,21
67,20
68,18
69,17
70,15
71,15
72,16
73,15
74,14
75,15
76,17
77,19
78,20
79,21
80,21
81,23
82,22
83,22
84,23
85,24
86,22
87,22
88,23
89,24
90,22
91,21
92,23
93,23
94,21
95,21
96,23
97,22
98,24
99,23
100,23
101,22
102,23
103,21
104,21
105,20
106,22
107,23
108,22
109,24
110,26
111,24
112,25
113,25
114,25
115,26
116,26
117,28
118,26
119,24
120,24
121,22
122,21
123,23
124,24
125,26
126,25
127,27
128,25
129,25
130,23
131,25
132,26
133,24
134,23
135,23
136,22
137,22
138,21
139,23
140,22
141,22
142,22
143,21
144,23
145,22
146,20
147,19
148,18
149,16
150,17
151,15
152,14
153,13
154,15
155,14
156,12
157,13
158,11
159,11
160,9
161,9
162,8
163,10
164,10
165,11
166,10
167,8
168,8
169,10
170,10
171,12
172,11
173,13
174,13
175,11
176,9
177,9
178,10
179,11
180,9
181,8
182,10
183,9
184,7
185,5
186,7
187,5
188,6
189,5
190,6
191,8
192,9
193,8
194,6
195,6
196,5
197,4
198,6
199,8
200,9
201,10
202,8
203,10
204,10
205,10
206,10
207,8
208,8
209,6
210,4
211,4
212,6
213,5
214,3
215,5
216,5
217,4
218,3
219,3
220,3
221,2
222,1
223,1
224,2
225,3
226,2
227,1
228,1
229,1
230,-1
231,-3
232,-4
233,-4
234,-2
235,-4
236,-4
237,-3
238,-5
239,-3
240,-1
241,0
242,1
243,-1
244,1
245,2
246,1
247,0
248,-1
249,-1
250,1
251,2
252,1
253,1
254,1
255,3
256,4
257,5
258,5
259,3
260,1
261,-1
262,-3
263,-4
264,-4
265,-5
266,-5
267,-3
268,-5
269,-3
270,-5
271,-6
272,-6
273,-5
274,-6
275,-4
276,-3
277,-1
278,-1
279,1
280,0
281,-1
282,-1
283,1
284,0
285,-1
286,0
287,2
288,4
289,3
290,2
291,2
292,3
293,2
294,0
295,-2
296,0
297,0
298,0
299,2
300,4
301,4
302,2
303,3
304,2
305,3
306,3
307,5
308,5
309,5
310,7
311,6
312,4
313,5
314,3
315,2
316,0
317,-1
318,-1
319,-2
320,0
321,1
322,2
323,2
324,1
325,3
326,5
327,4
328,5
329,4
330,4
331,6
332,8
333,9
334,10
335,8
336,9
337,9
338,8
339,9
340,11
341,9
342,8
343,6
344,5
345,4
346,5
347,4
348,6
349,7
350,7
351,8
352,9
353,10
354,10
355,8
356,8
357,8
358,9
359,7
360,5
361,3
362,1
363,3
364,1
365,-1
366,-2
367,-3
368,-1
369,0
370,2
371,4
372,2
373,0
374,-1
375,-2
376,-1
377,1
378,3
379,1
380,3
381,5
382,6
383,7
384,7
385,8
386,6
387,8
388,8
389,9
390,8
391,8
392,6
393,7
394,9
395,10
396,8
397,6
398,5
399,3
400,1
401,1
402,0
403,1
404,1
405,1
406,0
407,0
408,1
409,0
410,0
411,1
412,1
413,2
414,1
415,3
416,4
417,3
418,1
419,-1
420,-2
421,-1
422,1
423,2
424,4
425,5
426,4
427,6
428,5
429,5
430,7
431,8
432,10
433,10
434,9
435,10
436,12
437,10
438,11
439,12
440,11
441,9
442,10
443,8
444,6
445,5
446,4
447,5
448,5
449,4
450,2
451,3
452,2
453,0
454,-1
455,-1
456,-3
457,-5
458,-5
459,-6
460,-4
461,-3
462,-3
463,-4
464,-5
465,-4
466,-5
467,-5
468,-4
469,-2
470,-2
471,-3
472,-3
473,-5
474,-4
475,-4
476,-5
477,-3
478,-2
479,-4
480,-4
481,-3
482,-5
483,-6
484,-5
485,-3
486,-2
487,0
488,-1
489,-3
490,-3
491,-5
492,-6
493,-7
494,-6
495,-4
496,-4
497,-6
498,-7
499,-7
500,-8
501,-6
502,-7
503,-6
504,-7
505,-5
506,-4
507,-6
508,-4
509,-5
510,-7
511,-6
512,-4
513,-3
514,-1
515,-3
516,-3
517,-2
518,-3
519,-2
520,-4
521,-6
522,-8
523,-9
524,-9
525,-7
526,-9
527,-7
528,-8
529,-6
530,-7
531,-7
532,-9
533,-9
534,-10
535,-11
536,-11
537,-12
538,-13
539,-12
540,-12
541,-10
542,-11
543,-10
544,-10
545,-9
546,-8
547,-9
548,-10
549,-8
550,-6
551,-7
552,-7
553,-5
554,-7
555,-5
556,-7
557,-7
558,-9
559,-10
560,-11
561,-12
562,-10
563,-11
564,-12
565,-12
566,-14
567,-16
568,-15
569,-14
570,-13
571,-13
572,-13
573,-14
574,-16
575,-17
576,-18
577,-19
578,-19
579,-19
580,-19
581,-18
582,-19
583,-17
584,-19
585,-18
586,-17
587,-17
588,-19
589,-21
590,-19
591,-17
592,-17
593,-19
594,-21
595,-23
596,-21
597,-23
598,-25
599,-23
600,-21
601,-23
602,-24
603,-23
604,-22
605,-21
606,-21
607,-23
608,-21
609,-22
610,-20
611,-18
612,-20
613,-20
614,-19
615,-19
616,-21
617,-19
618,-17
619,-16
620,-14
621,-16
622,-16
623,-15
624,-17
625,-15
626,-14
627,-12
628,-12
629,-11
630,-10
631,-9
632,-8
633,-9
634,-10
635,-10
636,-10
637,-12
638,-10
639,-11
640,-11
641,-10
642,-10
643,-8
644,-9
645,-10
646,-11
647,-10
648,-10
649,-10
650,-11
651,-12
652,-14
653,-16
654,-16
655,-18
656,-20
657,-22
658,-22
659,-22
660,-23
661,-23
662,-25
663,-26
664,-27
665,-26
666,-28
667,-27
668,-25
669,-23
670,-21
671,-20
672,-19
673,-17
674,-17
675,-18
676,-20
677,-22
678,-20
679,-18
680,-16
681,-15
682,-15
683,-13
684,-12
685,-10
686,-10
687,-12
688,-14
689,-12
690,-12
691,-11
692,-10
693,-8
694,-6
695,-4
696,-6
697,-8
698,-8
699,-9
700,-7
701,-5
702,-3
703,-1
704,0
705,-1
706,-3
707,-5
708,-4
709,-4
710,-2
711,-2
712,-4
713,-5
714,-5
715,-7
716,-6
717,-4
718,-5
719,-4
720,-6
721,-8
722,-9
723,-11
724,-13
725,-13
726,-15
727,-15
728,-15
729,-13
730,-12
731,-12
732,-11
733,-11
734,-12
735,-11
736,-13
737,-11
738,-10
739,-12
740,-13
741,-11
742,-11
743,-12
744,-11
745,-12
746,-11
747,-12
748,-12
749,-10
750,-11
751,-9
752,-11
753,-9
754,-11
755,-11
756,-12
757,-12
758,-10
759,-8
760,-9
761,-7
762,-8
763,-10
764,-11
765,-9
766,-11
767,-10
768,-9
769,-7
770,-6
771,-7
772,-9
773,-9
774,-7
775,-6
776,-4
777,-3
778,-4
779,-5
780,-5
781,-5
782,-6
783,-6
784,-7
785,-6
786,-4
787,-3
788,-5
789,-7
790,-5
791,-6
792,-4
793,-4
794,-3
795,-3
796,-4
797,-5
798,-5
799,-5
800,-5
801,-7
802,-6
803,-6
804,-5
805,-4
806,-3
807,-1
808,-2
809,0
810,0
811,1
812,1
813,-1
814,0
815,-2
816,-1
817,1
818,-1
819,0
820,0
821,2
822,2
823,1
824,0
825,0
826,-1
827,-3
828,-2
829,-1
830,-1
831,-3
832,-1
833,-1
834,-3
835,-1
836,-3
837,-2
838,-1
839,0
840,0
841,0
842,2
843,4
844,5
845,7
846,7
847,6
848,7
849,7
850,7
851,7
852,9
853,8
854,10
855,8
856,6
857,4
858,4
859,6
860,7
861,6
862,5
863,7
864,9
865,8
866,6
867,5
868,7
869,8
870,8
871,8
872,9
873,8
874,9
875,8
876,6
877,6
878,8
879,6
880,4
881,3
882,4
883,6
884,8
885,10
886,9
887,7
888,6
889,5
890,7
891,9
892,9
893,9
894,8
895,9
896,11
897,10
898,10
899,11
900,11
901,13
902,13
903,11
904,9
905,10
906,9
907,9
908,7
909,5
910,5
911,5
912,7
913,7
914,8
915,9
916,8
917,6
918,4
919,4
920,3
921,5
922,7
923,5
924,7
925,7
926,9
927,10
928,11
929,10
930,11
931,9
932,9
933,10
934,8
935,8
936,9
937,10
938,9
939,7
940,6
941,4
942,5
943,3
944,4
945,3
946,1
947,0
948,1
949,0
950,-1
951,-2
952,-2
953,-2
954,-2
955,-3
956,-1
957,0
958,-1
959,-1
960,-2
961,-4
962,-6
963,-5
964,-7
965,-7
966,-9
967,-8
968,-9
969,-10
970,-9
971,-9
972,-8
973,-7
974,-5
975,-6
976,-6
977,-7
978,-9
979,-11
980,-9
981,-10
982,-10
983,-10
984,-12
985,-13
986,-15
987,-13
988,-11
989,-9
990,-8
991,-8
992,-6
993,-5
994,-7
995,-8
996,-9
997,-9
998,-10
999,-8
1000,-10
1001,-8
1002,-7
1003,-6
1004,-8
1005,-8
1006,-10
1007,-10
1008,-12
1009,-12
1010,-10
1011,-12
1012,-11
1013,-10
1014,-8
1015,-10
1016,-8
1017,-9
1018,-7
1019,-9
1020,-11
1021,-9
1022,-9
1023,-10
1024,-9
1025,-7
1026,-7
1027,-8
1028,-9
1029,-8
1030,-10
1031,-11
1032,-13
1033,-15
1034,-17
1035,-19
1036,-17
1037,-17
1038,-15
1039,-13
1040,-11
1041,-10
1042,-8
1043,-6
1044,-4
1045,-6
1046,-4
1047,-6
1048,-6
1049,-8
1050,-7
1051,-7
1052,-5
1053,-7
1054,-5
1055,-3
1056,-3
1057,-4
1058,-4
1059,-3
1060,-3
1061,-1
1062,-3
1063,-3
1064,-1
1065,-3
1066,-1
1067,0
1068,2
1069,3
1070,1
1071,2
1072,3
1073,2
1074,2
1075,4
1076,4
1077,3
1078,1
1079,3
1080,4
1081,5
1082,6
1083,6
1084,4
1085,4
1086,6
1087,6
1088,5
1089,6
1090,5
1091,3
1092,4
1093,5
1094,5
1095,7
1096,5
1097,6
1098,7
1099,9
1100,10
1101,8
1102,8
1103,9
1104,8
1105,10
1106,11
1107,12
1108,12
1109,13
1110,15
1111,15
1112,16
1113,17
1114,16
1115,17
1116,17
1117,15
1118,16
1119,14
1120,16
1121,15
1122,13
1123,15
1124,17
1125,19
1126,20
1127,19
1128,19
1129,20
1130,18
1131,16
1132,17
1133,17
1134,16
1135,14
1136,15
1137,17
1138,15
1139,15
1140,17
1141,17
1142,19
1143,19
1144,17
1145,15
1146,15
1147,17
1148,18
1149,18
1150,16
1151,18
1152,19
1153,19
1154,20
1155,22
1156,22
1157,23
1158,21
1159,20
1160,20
1161,18
1162,20
1163,20
1164,22
1165,20
1166,20
1167,22
1168,24
1169,22
1170,21
1171,22
1172,22
1173,22
1174,22
1175,24
1176,22
1177,21
1178,22
1179,23
1180,25
1181,23
1182,23
1183,23
1184,24
1185,24
1186,24
1187,24
1188,22
1189,24
1190,25
1191,27
1192,25
1193,25
1194,27
1195,26
1196,26
1197,25
1198,24
1199,25
1200,26
1201,26
1202,27
1203,25
1204,25
1205,25
1206,27
1207,27
1208,29
1209,27
1210,25
1211,26
1212,26
1213,28
1214,28
1215,28
1216,29
1217,31
1218,33
1219,31
1220,30
1221,28
1222,28
1223,27
1224,29
1225,28
1226,28
1227,30
1228,32
1229,33
1230,33
1231,34
1232,35
1233,36
1234,34
1235,34
1236,32
1237,30
1238,32
1239,34
1240,34
1241,33
1242,33
1243,32
1244,30
1245,28
1246,30
1247,28
1248,27
1249,25
1250,23
1251,23
1252,23
1253,23
1254,21
1255,21
1256,22
1257,20
1258,19
1259,20
1260,18
1261,16
1262,15
1263,13
1264,11
1265,10
1266,10
1267,9
1268,10
1269,9
1270,7
1271,7
1272,7
1273,5
1274,7
1275,9
1276,9
1277,7
1278,9
1279,7
1280,7
1281,7
1282,8
1283,6
1284,8
1285,6
1286,8
1287,6
1288,4
1289,4
1290,5
1291,6
1292,8
1293,7
1294,8
1295,6
1296,8
1297,7
1298,6
1299,4
1300,6
1301,7
1302,7
1303,9
1304,10
1305,11
1306,9
1307,9
1308,7
1309,5
1310,6
1311,7
1312,7
1313,8
1314,6
1315,7
1316,8
1317,7
1318,8
1319,7
1320,8
1321,7
1322,9
1323,11
1324,13
1325,15
1326,17
1327,19
1328,19
1329,19
1330,21
1331,23
1332,22
1333,23
1334,24
1335,23
1336,25
1337,26
1338,28
1339,30
1340,28
1341,28
1342,30
1343,32
1344,32
1345,31
1346,32
1347,30
1348,30
1349,29
1350,30
1351,30
1352,28
1353,30
1354,30
1355,29
1356,31
1357,32
1358,30
1359,31
1360,30
1361,29
1362,29
1363,31
1364,31
1365,29
1366,27
1367,26
1368,25
1369,24
1370,24
1371,23
1372,21
1373,21
1374,20
1375,20
1376,18
1377,17
1378,18
1379,16
1380,16
1381,17
1382,17
1383,19
1384,20
1385,19
1386,18
1387,20
1388,20
1389,21
1390,21
1391,22
1392,20
1393,18
1394,18
1395,20
1396,20
1397,22
1398,20
1399,21
1400,20
1401,20
1402,20
1403,19
1404,18
1405,16
1406,18
1407,18
1408,17
1409,19
1410,19
1411,17
1412,19
1413,18
1414,16
1415,16
1416,14
1417,15
1418,14
1419,16
1420,15
1421,14
1422,14
1423,15
1424,14
1425,13
1426,13
1427,11
1428,9
1429,11
1430,10
1431,11
1432,11
1433,12
1434,10
1435,8
1436,9
1437,8
1438,8
1439,7
1440,7
1441,6
1442,5
1443,4
1444,2
1445,1
1446,0
1447,0
1448,-1
1449,1
1450,0
1451,-2
1452,-4
1453,-6
1454,-5
1455,-4
1456,-5
1457,-4
1458,-2
1459,-1
1460,1
1461,-1
1462,-1
1463,-2
1464,-4
1465,-2
1466,-2
1467,-4
1468,-4
1469,-5
1470,-6
1471,-4
1472,-6
1473,-6
1474,-6
1475,-6
1476,-7
1477,-6
1478,-4
1479,-4
1480,-3
1481,-3
1482,-3
1483,-5
1484,-5
1485,-4
1486,-2
1487,-1
1488,0
1489,1
1490,2
1491,2
1492,0
1493,0
1494,-1
1495,-3
1496,-2
1497,-4
1498,-6
1499,-8
1500,-9
1501,-10
1502,-11
1503,-10
1504,-9
1505,-10
1506,-12
1507,-13
1508,-14
1509,-15
1510,-13
1511,-11
1512,-10
1513,-9
1514,-9
1515,-11
1516,-12
1517,-13
1518,-15
1519,-13
1520,-11
1521,-12
1522,-10
1523,-8
1524,-7
1525,-9
1526,-10
1527,-10
1528,-12
1529,-13
1530,-11
1531,-10
1532,-10
1533,-11
1534,-9
1535,-9
1536,-7
1537,-5
1538,-3
1539,-5
1540,-4
1541,-6
1542,-6
1543,-7
1544,-6
1545,-4
1546,-2
1547,-2
1548,-4
1549,-5
1550,-4
1551,-5
1552,-5
1553,-5
1554,-7
1555,-6
1556,-6
1557,-7
1558,-7
1559,-5
1560,-3
1561,-4
1562,-3
1563,-2
1564,0
1565,0
1566,0
1567,1
1568,2
1569,1
1570,3
1571,4
1572,5
1573,6
1574,6
1575,8
1576,8
1577,7
1578,6
1579,6
1580,8
1581,10
1582,11
1583,13
1584,13
1585,11
1586,11
1587,10
1588,11
1589,10
1590,9
1591,9
1592,11
1593,10
1594,8
1595,10
1596,8
1597,8
1598,10
1599,8
1600,7
1601,5
1602,7
1603,6
