Days,Stock Price
1,1
2,-1
3,-2
4,-4
5,-2
6,0
7,-1
8,-2
9,-3
10,-4
11,-5
12,-4
13,-6
14,-5
15,-4
16,-3
17,-4
18,-4
19,-2
20,-2
21,-2
22,-2
23,-4
24,-5
25,-7
26,-6
27,-4
28,-5
29,-5
30,-4
31,-6
32,-6
33,-8
34,-6
35,-4
36,-4
37,-3
38,-5
39,-4
40,-4
41,-4
42,-5
43,-5
44,-3
45,-1
46,-3
47,-3
48,-5
49,-3
50,-1
51,-3
52,-4
53,-5
54,-5
55,-5
56,-6
57,-5
58,-3
59,-1
60,-1
61,-1
62,1
63,3
64,5
65,3
66,4
67,5
68,4
69,6
70,8
71,9
72,10
73,8
74,8
75,8
76,8
77,6
78,6
79,8
80,10
81,9
82,8
83,9
84,11
85,10
86,10
87,8
88,10
89,9
90,8
91,7
92,5
93,3
94,1
95,1
96,0
97,1
98,-1
99,-1
100,1
101,3
102,3
103,5
104,5
105,4
106,6
107,8
108,7
109,6
110,4
111,3
112,5
113,7
114,6
115,7
116,5
117,6
118,4
119,6
120,6
121,5
122,3
123,3
124,4
125,4
126,6
127,5
128,5
129,3
130,1
131,1
132,3
133,3
134,2
135,3
136,2
137,0
138,0
139,0
140,1
141,-1
142,-3
143,-1
144,1
145,0
146,0
147,2
148,2
149,2
150,0
151,2
152,0
153,-2
154,-3
155,-1
156,1
157,2
158,0
159,-1
160,-3
161,-4
162,-6
163,-4
164,-6
165,-4
166,-6
167,-7
168,-5
169,-5
170,-6
171,-8
172,-6
173,-7
174,-5
175,-4
176,-6
177,-4
178,-4
179,-2
180,-1
181,1
182,2
183,4
184,3
185,2
186,3
187,1
188,3
189,1
190,1
191,3
192,2
193,4
194,3
195,5
196,6
197,7
198,5
199,3
200,1
201,2
202,0
203,-2
204,-2
205,-3
206,-5
207,-5
208,-7
209,-9
210,-10
211,-8
212,-6
213,-7
214,-6
215,-7
216,-5
217,-4
218,-5
219,-6
220,-5
221,-7
222,-7
223,-7
224,-9
225,-11
226,-12
227,-14
228,-13
229,-12
230,-14
231,-15
232,-13
233,-15
234,-14
235,-15
236,-13
237,-12
238,-11
239,-9
240,-8
241,-9
242,-8
243,-7
244,-5
245,-4
246,-5
247,-4
248,-5
249,-5
250,-6
251,-6
252,-8
253,-6
254,-7
255,-7
256,-8
257,-6
258,-6
259,-8
260,-8
261,-10
262,-11
263,-12
264,-14
265,-12
266,-10
267,-8
268,-6
269,-6
270,-7
271,-6
272,-8
273,-6
274,-5
275,-3
276,-2
277,0
278,-2
279,-3
280,-2
281,-3
282,-5
283,-7
284,-7
285,-8
286,-6
287,-4
288,-6
289,-6
290,-4
291,-6
292,-6
293,-6
294,-5
295,-3
296,-2
297,-1
298,-2
299,-2
300,-2
301,-2
302,-2
303,-1
304,0
305,-2
306,0
307,1
308,0
309,-1
310,-1
311,-1
312,-3
313,-3
314,-1
315,-1
316,-2
317,0
318,1
319,0
320,1
321,3
322,2
323,2
324,1
325,1
326,0
327,-1
328,-3
329,-1
330,1
331,1
332,2
333,1
334,1
335,3
336,5
337,7
338,9
339,9
340,7
341,6
342,5
343,3
344,2
345,1
346,-1
347,-1
348,-1
349,0
350,1
351,-1
352,-3
353,-3
354,-3
355,-2
356,0
357,-2
358,-4
359,-5
360,-5
361,-6
362,-8
363,-8
364,-6
365,-8
366,-9
367,-11
368,-9
369,-10
370,-12
371,-13
372,-13
373,-14
374,-14
375,-13
376,-11
377,-9
378,-11
379,-12
380,-10
381,-11
382,-12
383,-10
384,-9
385,-11
386,-10
387,-8
388,-7
389,-9
390,-9
391,-11
392,-12
393,-10
394,-10
395,-10
396,-8
397,-6
398,-5
399,-4
400,-4
401,-3
402,-3
403,-1
404,1
405,3
406,1
407,0
408,-2
409,-2
410,-2
411,0
412,-2
413,-3
414,-4
415,-6
416,-7
417,-8
418,-6
419,-4
420,-5
421,-4
422,-5
423,-3
424,-2
425,0
426,-1
427,-1
428,-3
429,-4
430,-3
431,-3
432,-1
433,-3
434,-2
435,-3
436,-4
437,-6
438,-6
439,-7
440,-9
441,-10
442,-10
443,-12
444,-12
445,-11
446,-12
447,-13
448,-14
449,-14
450,-14
451,-12
452,-13
453,-11
454,-10
455,-11
456,-13
457,-13
458,-12
459,-14
460,-13
461,-12
462,-10
463,-9
464,-11
465,-11
466,-9
467,-10
468,-12
469,-11
470,-9
471,-11
472,-9
473,-7
474,-9
475,-9
476,-7
477,-8
478,-10
479,-11
480,-12
481,-12
482,-14
483,-14
484,-13
485,-11
486,-10
487,-9
488,-8
489,-7
490,-9
491,-10
492,-10
493,-8
494,-9
495,-9
496,-7
497,-7
498,-8
499,-6
500,-8
501,-8
502,-6
503,-6
504,-7
505,-8
506,-9
507,-10
508,-9
509,-10
510,-10
511,-8
